Model,trace name,IPC,number of instructions,number of load misses,MPKI
lime21,result_baseline_mcf_250B.trace.gz.txt,0.108157,100000000.0,3059239.0,30.59239
lime21,result_baseline_leslie3d_1116B.trace.gz.txt,0.706761,100000001.0,255670.0,2.556699974433
lime21,result_baseline_mcf_158B.trace.gz.txt,0.101301,100000002.0,4336548.0,43.36547913269042
lime21,result_baseline_cactusADM_1039B.trace.gz.txt,0.468381,100000003.0,28399.0,0.28398999148030024
lime21,result_baseline_leslie3d_1186B.trace.gz.txt,0.682833,100000000.0,323143.0,3.23143
lime21,result_baseline_gcc_56B.trace.gz.txt,0.73087,100000003.0,44885.0,0.4488499865345004
lime21,result_baseline_perlbench_105B.trace.gz.txt,0.409684,100000000.0,10012.0,0.10012
lime21,result_baseline_astar_163B.trace.gz.txt,0.500755,100000001.0,45672.0,0.45671999543280006
lime21,result_baseline_bzip2_183B.trace.gz.txt,0.762522,100000003.0,34011.0,0.3401099897967003
lime21,result_baseline_milc_360B.trace.gz.txt,0.560719,100000003.0,1002075.0,10.02074969937751
lime21,result_baseline_zeusmp_600B.trace.gz.txt,1.29916,100000001.0,27656.0,0.2765599972344
lime21,result_baseline_lbm_564B.trace.gz.txt,0.66287,100000003.0,445765.0,4.457649866270504
lime21,result_baseline_bzip2_281B.trace.gz.txt,0.886351,100000000.0,36766.0,0.36766
lime21,result_baseline_cactusADM_1495B.trace.gz.txt,0.482851,100000003.0,24906.0,0.2490599925282002
lime21,result_baseline_soplex_217B.trace.gz.txt,0.367387,100000000.0,1266245.0,12.66245
lime21,result_baseline_perlbench_135B.trace.gz.txt,0.397764,100000003.0,7889.0,0.07888999763330007
lime21,result_baseline_libquantum_964B.trace.gz.txt,0.560567,100000001.0,1124494.0,11.2449398875506
lime21,result_baseline_libquantum_1210B.trace.gz.txt,0.495204,100000001.0,812257.0,8.122569918774301
lime21,result_baseline_milc_409B.trace.gz.txt,0.579583,100000003.0,971320.0,9.713199708604009
lime19,result_baseline_sphinx3_883B.trace.gz.txt,0.89505,100000000.0,44401.0,0.44401
lime19,result_baseline_bzip2_259B.trace.gz.txt,0.91007,100000002.0,55959.0,0.5595899888082002
lime19,result_baseline_wrf_1228B.trace.gz.txt,0.789394,100000000.0,59597.0,0.59597
lime19,result_baseline_lbm_94B.trace.gz.txt,0.710737,100000000.0,390825.0,3.90825
lime19,result_baseline_gcc_13B.trace.gz.txt,0.26411,100000001.0,580768.0,5.8076799419232
lime19,result_baseline_calculix_2655B.trace.gz.txt,1.74076,100000000.0,20954.0,0.20954
lime19,result_baseline_gcc_39B.trace.gz.txt,0.725215,100000001.0,13327.0,0.13326999866730002
lime19,result_baseline_wrf_1650B.trace.gz.txt,0.681322,100000000.0,48570.0,0.4857
lime19,result_baseline_omnetpp_340B.trace.gz.txt,0.254535,100000000.0,1077656.0,10.77656
lime19,result_baseline_wrf_1212B.trace.gz.txt,0.564937,100000002.0,10878.0,0.10877999782440004
lime19,result_baseline_soplex_205B.trace.gz.txt,0.355631,100000003.0,1289653.0,12.89652961310411
lime19,result_baseline_perlbench_53B.trace.gz.txt,0.395657,100000000.0,7462.0,0.07462
lime19,result_baseline_zeusmp_300B.trace.gz.txt,1.34111,100000002.0,27459.0,0.2745899945082001
lime19,result_baseline_calculix_3812B.trace.gz.txt,1.75928,100000000.0,5264.0,0.05264
lime19,result_baseline_milc_744B.trace.gz.txt,0.679384,100000003.0,738728.0,7.387279778381607
lime19,result_baseline_astar_23B.trace.gz.txt,0.324319,100000000.0,195046.0,1.95046
